Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,488776,11,19,5635,19027,1412,0,512.2727273,607.4968462,1412,0,1001.421053,625.1970637,50456.6509,61.37780906,16854.34483,47490.34746,237536,0,424860,42486,92758.16781,296357,0,488776,27154.22222,58771.57584,237536,0,0,0,0,0,220,404,22.50519665,38.8726124,0,1412,795.5483871,659.4717502,434902.9892,0,1,0,0,0,0,0,0,1,822.0666667,512.2727273,1001.421053,0,0,0,0,0,0,11,5635,19,19027,-1,2051,7,0,0,0,0,0,0,0,0,0, BENIGN
443,363,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,85399.44904,8264.46281,181.5,211.4249276,331,32,32,32,0,32,32,0,0,0,0,0,0,0,0,0,40,20,5509.641873,2754.820937,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,512,1,0,0,0,0,0,0,0,0,0, BENIGN
443,479843,11,19,5635,19027,1412,0,512.2727273,607.4968462,1412,0,1001.421053,625.1970637,51395.97743,62.5204494,16546.31034,47847.05694,242165,0,421598,42159.8,93584.5382,299376,0,479843,26657.94444,59301.6346,242165,0,0,0,0,0,220,404,22.92416478,39.59628462,0,1412,795.5483871,659.4717502,434902.9892,0,1,0,0,0,0,0,0,1,822.0666667,512.2727273,1001.421053,0,0,0,0,0,0,11,5635,19,19027,-1,2051,7,0,0,0,0,0,0,0,0,0, BENIGN
443,414,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,74879.22705,7246.376812,207,239.002092,376,38,38,38,0,38,38,0,0,0,0,0,0,0,0,0,40,20,4830.917874,2415.458937,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,512,1,0,0,0,0,0,0,0,0,0, BENIGN
443,482498,11,19,5635,19027,1412,0,512.2727273,607.4968462,1412,0,1001.421053,625.1970637,51113.16524,62.17642353,16637.86207,47687.53898,240762,0,423190,42319,93410.53927,298959,0,482498,26805.44444,59119.63941,240762,0,0,0,0,0,220,404,22.79802196,39.37840157,0,1412,795.5483871,659.4717502,434902.9892,0,1,0,0,0,0,0,0,1,822.0666667,512.2727273,1001.421053,0,0,0,0,0,0,11,5635,19,19027,-1,2051,7,0,0,0,0,0,0,0,0,0, BENIGN
443,285,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,108771.9298,10526.31579,142.5,154.8563851,252,33,33,33,0,33,33,0,0,0,0,0,0,0,0,0,40,20,7017.54386,3508.77193,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,512,1,0,0,0,0,0,0,0,0,0, BENIGN
443,14835366,1,5,0,78,0,0,0,0,46,0,15.6,21.57081361,5.257706483,0.40443896,2967073.2,6557409.015,1.47E+07,0,0,0,0,0,0,1.48E+07,3708841.5,7325618.239,1.47E+07,0,0,0,0,0,20,100,0.067406493,0.337032467,0,46,11.28571429,19.09375365,364.5714286,0,0,0,0,1,0,0,0,5,13.16666667,0,15.6,0,0,0,0,0,0,1,0,5,78,-1,30016,0,0,138238,0,138238,138238,1.47E+07,0,1.47E+07,1.47E+07, BENIGN
443,14839301,1,5,0,78,0,0,0,0,46,0,15.6,21.57081361,5.256312275,0.404331713,2967860.2,6554073.415,1.47E+07,42,0,0,0,0,0,1.48E+07,3709825.25,7321504.185,1.47E+07,110,0,0,0,0,20,100,0.067388619,0.336943095,0,46,11.28571429,19.09375365,364.5714286,0,0,0,0,1,0,0,0,5,13.16666667,0,15.6,0,0,0,0,0,0,1,0,5,78,-1,30016,0,0,147298,0,147298,147298,1.47E+07,0,1.47E+07,1.47E+07, BENIGN
443,110063,1,3,0,31,0,0,0,0,31,0,10.33333333,17.89785834,281.6568692,36.34282184,36687.66667,63417.60745,109916,37,0,0,0,0,0,110063,55031.5,77618.40426,109916,147,0,0,0,0,20,60,9.08570546,27.25711638,0,31,6.2,13.86362146,192.2,1,0,0,0,1,0,0,0,3,7.75,0,10.33333333,0,0,0,0,0,0,1,0,3,31,-1,501,0,0,0,0,0,0,0,0,0,0, BENIGN
443,110151,1,3,0,31,0,0,0,0,31,0,10.33333333,17.89785834,281.4318526,36.31378744,36717,63468.40741,110004,52,0,0,0,0,0,110151,55075.5,77680.62966,110004,147,0,0,0,0,20,60,9.078446859,27.23534058,0,31,6.2,13.86362146,192.2,1,0,0,0,1,0,0,0,3,7.75,0,10.33333333,0,0,0,0,0,0,1,0,3,31,-1,501,0,0,0,0,0,0,0,0,0,0, BENIGN
443,112830,1,3,0,31,0,0,0,0,31,0,10.33333333,17.89785834,274.7496233,35.4515643,37610,65039.37846,112711,35,0,0,0,0,0,112830,56415,79614.56671,112711,119,0,0,0,0,20,60,8.862891075,26.58867323,0,31,6.2,13.86362146,192.2,1,0,0,0,1,0,0,0,3,7.75,0,10.33333333,0,0,0,0,0,0,1,0,3,31,-1,501,0,0,0,0,0,0,0,0,0,0, BENIGN
